server count	testi numero	lukuja	Time (s)	Scaled time against server count (s)
1	1	200	19.54	19.54
1	2	200	19.42	19.42
1	3	200	19.43	19.43
2	4	200	10.15	20.3
2	5	200	10.11	20.22
2	6	200	9.91	19.82
3	7	200	8.01	24.03
3	8	200	8.32	24.96
3	9	200	7.7	23.1
4	10	200	8.06	32.24
4	11	200	7.23	28.92
4	12	200	7.71	30.84
5	13	200	7.3	36.5
5	14	200	7.53	37.65
5	15	200	7.47	37.35
6	16	200	6.49	38.94
6	17	200	6.5	39
6	18	200	6.69	40.14
7	19	200	6.21	43.47
7	20	200	6.37	44.59
7	21	200	6.32	44.24
